Extra,Giorno,Ora,Classe,Aula,Piano
,mercoledì,7°,4B_mec,Esce ore 13.40,
,mercoledì,7°,4B_od,Esce ore 13.40,
,mercoledì,7°,4C_tlc,Esce ore 13.40,
,mercoledì,7°,4E_inf,Esce ore 13.40,
,mercoledì,7°,4F_idd,Esce ore 13.40,
,mercoledì,7°,5A_en,Esce ore 13.40,
,mercoledì,7°,5A_et,Esce ore 13.40,
,mercoledì,7°,5A_inf,Esce ore 13.40,
,mercoledì,7°,5A_mec,Esce ore 13.40,
,mercoledì,7°,5A_od,Esce ore 13.40,
,mercoledì,7°,5B_inf,Esce ore 13.40,
,mercoledì,7°,5B_mec,Esce ore 13.40,
,mercoledì,7°,5B_od,Esce ore 13.40,
,mercoledì,7°,5C_tlc,Esce ore 13.40,
,mercoledì,7°,5D_tlc,Esce ore 13.40,
,mercoledì,7°,5F_idd,Esce ore 13.40,
,venerdì,7°,1A_aer,Esce ore 13.40,
,venerdì,7°,1A_en,Esce ore 13.40,
,venerdì,7°,1A_inf,Esce ore 13.40,
,venerdì,7°,1A_mec,Esce ore 13.40,
,venerdì,7°,1A_od,Esce ore 13.40,
,venerdì,7°,1B_inf,Esce ore 13.40,
,venerdì,7°,1B_mec,Esce ore 13.40,
,venerdì,7°,1B_od,Esce ore 13.40,
,venerdì,7°,1C_inf,Esce ore 13.40,
,venerdì,7°,1C_mec,Esce ore 13.40,
,venerdì,7°,1D_inf,Esce ore 13.40,
,venerdì,7°,1F_idd,Esce ore 13.40,
,venerdì,7°,2A_aer,Esce ore 13.40,
,venerdì,7°,2A_en,Esce ore 13.40,
,venerdì,7°,2A_inf,Esce ore 13.40,
,venerdì,7°,2A_mec,Esce ore 13.40,
,venerdì,7°,2A_od,Esce ore 13.40,
,venerdì,7°,2B_inf,Esce ore 13.40,
,venerdì,7°,2B_mec,Esce ore 13.40,
,venerdì,7°,2B_od,Esce ore 13.40,
,venerdì,7°,2C_inf,Esce ore 13.40,
,venerdì,7°,2D_inf,Esce ore 13.40,
,venerdì,7°,2E_inf,Esce ore 13.40,
,venerdì,7°,2F_idd,Esce ore 13.40,
,venerdì,7°,3A_et,Esce ore 13.40,
,venerdì,7°,3A_inf,Esce ore 13.40,
,venerdì,7°,3A_mec,Esce ore 13.40,
,venerdì,7°,3A_od,Esce ore 13.40,
,venerdì,7°,3B_inf,Esce ore 13.40,
,venerdì,7°,3B_mec,Esce ore 13.40,
,venerdì,7°,3B_od,Esce ore 13.40,
,venerdì,7°,3C_tlc,Esce ore 13.40,
,venerdì,7°,3E_inf,Esce ore 13.40,
,venerdì,7°,3F_idd,Esce ore 13.40,
,venerdì,7°,3G_idd,Esce ore 13.40,
,venerdì,7°,4A_aer,Esce ore 13.40,
,venerdì,7°,4A_et,Esce ore 13.40,
,venerdì,7°,4A_inf,Esce ore 13.40,
,venerdì,7°,4A_mec,Esce ore 13.40,
,venerdì,7°,4A_od,Esce ore 13.40,
,venerdì,7°,4B_inf,Esce ore 13.40,
,venerdì,7°,4B_mec,Esce ore 13.40,
,venerdì,7°,4B_od,Esce ore 13.40,
,venerdì,7°,4C_tlc,Esce ore 13.40,
,venerdì,7°,4E_inf,Esce ore 13.40,
,venerdì,7°,4F_idd,Esce ore 13.40,
,venerdì,7°,5A_en,Esce ore 13.40,
,venerdì,7°,5A_et,Esce ore 13.40,
,venerdì,7°,5A_inf,Esce ore 13.40,
,venerdì,7°,5A_mec,Esce ore 13.40,
,venerdì,7°,5A_od,Esce ore 13.40,
,venerdì,7°,5B_inf,Esce ore 13.40,
,venerdì,7°,5B_mec,Esce ore 13.40,
,venerdì,7°,5B_od,Esce ore 13.40,
,venerdì,7°,5C_tlc,Esce ore 13.40,
,venerdì,7°,5D_tlc,Esce ore 13.40,
,venerdì,7°,5F_idd,Esce ore 13.40,
